problem,age,gender,time,location,pain,fever,vomit,swelling,diarrhea,blood_stool,risks,er,urgent,primary,nothing,recommendation
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,true,true,true,true,true,7,6,5,5,Urgent Care
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,true,true,false,true,true,9,6,6,10,Nothing
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,true,true,true,false,true,8,8,2,10,Primary Doctor
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,true,true,false,false,true,7,6,4,9,Emergency Room
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,true,false,true,true,true,8,8,5,6,Emergency Room
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,true,false,false,true,true,7,8,4,5,Primary Doctor
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,true,false,true,false,true,8,8,4,5,Urgent Care
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,true,false,false,false,true,8,6,3,10,Primary Doctor
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,true,true,true,true,false,9,6,5,8,Urgent Care
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,true,true,false,true,false,8,8,3,6,Urgent Care
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,true,true,true,false,false,8,7,2,7,Emergency Room
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,true,true,false,false,false,7,6,4,10,Emergency Room
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,true,false,true,true,false,8,7,3,7,Primary Doctor
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,true,false,false,true,false,7,8,5,10,Emergency Room
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,true,false,true,false,false,8,7,3,7,Nothing
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,true,false,false,false,false,9,7,5,8,Urgent Care
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,false,true,true,true,true,true,9,6,4,5,Emergency Room
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,false,true,true,false,true,true,9,7,2,7,Urgent Care
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,false,true,true,true,false,true,8,7,2,9,Nothing
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,false,true,true,false,false,true,7,6,6,8,Urgent Care
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,false,true,false,true,true,true,9,6,4,8,Emergency Room
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,false,true,false,false,true,true,8,8,4,8,Emergency Room
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,false,true,false,true,false,true,9,8,5,9,Primary Doctor
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,false,true,false,false,false,true,8,8,6,9,Urgent Care
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,false,true,true,true,true,false,9,8,4,5,Urgent Care
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,false,true,true,false,true,false,9,8,4,10,Urgent Care
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,false,true,true,true,false,false,9,8,3,7,Nothing
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,false,true,true,false,false,false,9,7,5,6,Emergency Room
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,false,true,false,true,true,false,9,6,4,10,Urgent Care
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,false,true,false,false,true,false,9,6,6,8,Urgent Care
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,false,true,false,true,false,false,7,8,6,9,Primary Doctor
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,false,true,false,false,false,false,8,7,5,10,Nothing
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,false,true,true,true,true,8,8,3,8,Nothing
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,false,true,false,true,true,8,7,5,6,Urgent Care
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,false,true,true,false,true,9,6,4,8,Urgent Care
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,false,true,false,false,true,7,6,5,8,Emergency Room
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,false,false,true,true,true,9,7,2,9,Nothing
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,false,false,false,true,true,9,7,4,8,Urgent Care
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,false,false,true,false,true,9,7,6,5,Urgent Care
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,false,false,false,false,true,9,6,2,9,Emergency Room
abdomen,18 – 45,male,1-3 days,Right Upper Quadrant,1-3,true,false,true,true,true,false,9,8,4,10,Emergency Room
